field_1,centroid_y,centroid_x,Elevation,Depth_avg,Lake_area,Continent
494,55.86472569,-115.4552031,636,2.9,253.72,North America
498,55.84178929,-108.5561537,415,11.5,827.51,North America
499,55.97592039,-108.3329938,415,7.5,543.87,North America
500,55.55274522,-106.5447511,379,21.7,379.1,North America
506,55.50645914,-110.5663463,590,12.2,126.16,North America
520,55.02048991,-97.70639252,185,9.0,514.0,North America
521,55.17771085,-108.2604583,423,19.1,189.02,North America
523,55.24171879,-113.3134281,589,21.1,138.13,North America
524,55.11674739,-107.2826968,446,15.7,238.32,North America
525,55.11586651,-96.00715105,200,6.3,148.38,North America
527,55.06682685,-105.557493,370,11.0,130.68,North America
529,55.13947249,-102.9599132,310,24.2,213.44,North America
530,55.1354862,-72.58543204,389,13.0,962.67,North America
531,54.8647414,-112.1081135,537,19.6,238.98,North America
532,54.82143043,-95.55910715,186,15.1,338.65,North America
533,54.93856761,-102.8848616,310,17.3,114.23,North America
534,54.9096732,-104.6636479,370,9.5,242.17,North America
535,54.77302507,-99.83002726,253,27.7,175.34,North America
536,54.90246038,-109.7358464,595,9.8,436.35,North America
537,54.78622501,-103.5046721,322,6.2,543.74,North America
540,54.65438408,-70.77059956,476,6.3,293.32,North America
542,54.84453099,-97.15703176,205,3.6,177.62,North America
545,54.65797459,-106.8386203,475,21.9,277.7,North America
547,54.7676102,-107.2894553,454,10.9,627.55,North America
548,54.67306301,-97.48773361,205,6.1,286.17,North America
550,54.64823779,-100.3302898,277,9.5,189.95,North America
553,54.31733446,-98.20582255,213,8.1,358.57,North America
554,54.29418256,-105.7097757,486,6.3,456.42,North America
558,54.58592806,-102.2455928,293,20.4,343.6,North America
559,54.44890021,-101.5309653,279,9.9,135.35,North America
561,54.36313883,-102.7855716,288,6.3,120.72,North America
564,54.27461885,-98.57727447,210,5.2,174.68,North America
565,54.21672373,-96.85960392,217,11.2,394.73,North America
566,54.16505084,-92.96458945,224,6.7,111.17,North America
567,54.11964148,-93.82214979,219,8.3,236.41,North America
569,54.01835524,-99.91217481,255,8.8,184.36,North America
570,54.06372583,-101.0797116,257,8.7,283.92,North America
571,54.14871581,-92.12297533,233,7.2,101.5,North America
574,54.0699725,-106.18339,524,19.5,125.02,North America
576,53.84897977,-94.25399143,225,20.1,964.63,North America
577,54.124269,-101.473191,259,7.9,111.44,North America
578,54.06014836,-98.2205276,215,2.9,759.81,North America
581,54.11846183,-102.2780746,263,11.3,418.81,North America
583,53.89716168,-99.36510989,263,10.7,114.82,North America
584,53.80867038,-92.14185834,245,11.5,228.1,North America
585,53.98857969,-73.36445237,372,24.2,805.72,North America
586,53.82856907,-105.339521,491,9.0,131.68,North America
587,53.78202246,-90.16586204,206,16.0,644.1,North America
597,53.42224373,-64.81062996,475,4.7,762.29,North America
600,53.11640201,-71.08906825,527,10.9,282.47,North America
606,52.69441225,-66.18246049,528,12.9,531.71,North America
607,52.71156389,-64.59409004,485,13.0,393.17,North America
614,52.95084325,-101.3487857,259,5.3,260.08,North America
615,52.76508897,-90.61568319,297,9.7,319.54,North America
617,52.78986338,-65.27686422,505,10.1,377.75,North America
618,52.49645038,-100.7396752,257,5.5,307.92,North America
620,52.45547176,-100.3182298,253,4.8,154.84,North America
622,52.31885117,-85.19447155,170,5.5,182.8,North America
629,51.9158903,-104.0522126,513,3.1,154.47,North America
631,51.88152967,-104.3614131,510,3.3,272.89,North America
632,52.05654114,-99.56767901,250,2.7,160.03,North America
635,51.65134189,-98.49721796,241,3.2,331.34,North America
638,51.6781216,-70.14993633,529,11.7,306.61,North America
641,51.28021069,-99.77563912,258,2.3,515.73,North America
643,50.95254327,-106.9076225,551,25.2,391.72,North America
644,51.06105891,-90.80889405,371,5.7,506.21,North America
645,50.98705154,-73.18742837,386,19.1,406.17,North America
646,51.20351459,-93.31557155,394,16.7,347.42,North America
647,51.03601962,-98.52080489,245,2.3,113.63,North America
649,50.86771156,-77.020085,239,17.2,471.37,North America
652,50.84909773,-77.38827019,239,8.3,102.27,North America
654,50.79634391,-89.11673022,332,12.9,114.81,North America
661,50.7660136,-70.97773087,490,4.7,471.19,North America
665,50.3066383,-80.31300259,262,5.8,175.21,North America
668,50.21033368,-77.4505935,241,12.6,119.91,North America
673,50.08620028,-105.950764,663,3.8,304.07,North America
676,49.89293788,-77.69758471,245,15.6,255.43,North America
683,49.88348797,-76.81267547,260,17.6,349.26,North America
685,49.64642201,-92.53867448,367,16.6,178.83,North America
688,50.11984235,-69.13826644,346,41.5,586.64,North America
690,49.56595064,-76.41176758,264,16.1,204.14,North America
691,49.54717211,-94.96630443,320,15.9,255.72,North America
697,49.61774652,-70.140713,393,17.6,790.1,North America
707,48.75791083,-79.58974059,263,3.5,946.77,North America
710,48.72331597,-93.24564119,334,8.0,826.48,North America
712,48.41983729,-81.00437452,271,13.5,109.21,North America
713,48.4223346,-92.69229429,337,23.4,209.17,North America
714,48.34054867,-78.10041388,292,11.2,112.12,North America
716,48.32923075,-78.34120507,290,14.3,112.15,North America
720,48.26265567,-56.57779617,271,15.0,314.12,North America
721,47.7188538,-106.8845301,679,28.9,814.09,North America
723,48.03634026,-98.9344886,435,8.3,343.2,North America
725,47.78288207,-119.2189745,475,8.3,106.65,North America
732,47.47405748,-77.02704704,335,5.7,328.96,North America
733,47.58204372,-78.60537411,260,28.2,328.99,North America
735,47.45000692,-94.16467087,392,2.7,248.33,North America
736,47.28342647,-76.51255239,356,3.0,434.11,North America
738,47.17880181,-94.42813879,392,2.0,412.55,North America
744,46.18969353,-72.82296075,1,3.1,333.51,North America
745,46.24391937,-79.65010751,192,4.5,878.3,North America
746,46.23791395,-93.66004063,377,7.8,516.15,North America
750,45.78248837,-82.06887995,222,15.8,106.04,North America
752,45.38101087,-73.83305032,19,5.7,150.98,North America
754,45.1418806,-74.41306065,43,3.4,238.12,North America
758,44.93230838,-75.0585945,71,5.5,147.31,North America
759,44.47023554,-79.32292937,216,13.4,767.03,North America
762,44.00082163,-88.43090279,226,6.4,645.53,North America
